id,title,description,link,brand,gtin,mpn,image_link,additional_image_link,video_link,model_3d_link,condition,google_product_category,product_category,age_group,material,length,width,height,weight,item_group_id,item_group_title,color,size,size_system,gender,availability,availability_date,expiration_date,inventory_not_tracked,inventory_quantity,price,sale_price,sale_price_effective_date,stripe_product_tax_code,tax_behavior,applicable_fees,shipping,free_shipping_threshold,delete
1,Leiden Umber Boucle Cushion (50x50cm),"Leiden Umber Boucle Cushion — 50x50cm · Cushions from Adairs, a premium Australian home and linen brand.",https://www.adairs.com.au/homewares/cushions/adairs/leiden-umber-boucle-cushion/,Adairs,,1,https://wsrv.nl/?url=www.adairs.com.au%2Fglobalassets%2F13.-ecommerce%2F03.-product-images%2F2026_images%2Fhomewares%2Fcushions%2F55836_umber_1.jpg&w=1200&q=85&output=webp,,,,new,Home & Garden > Decor > Throw Pillows,Cushions,adult,,,,,,,,,50x50cm,AU,unisex,in_stock,,,TRUE,,69.99 AUD,,,txcd_99999999,inclusive,,,,
2,Leiden White Boucle Cushion (50x50cm),"Leiden White Boucle Cushion — 50x50cm · Cushions from Adairs, a premium Australian home and linen brand.",https://www.adairs.com.au/homewares/cushions/adairs/leiden-boucle-cushion-white/,Adairs,,2,https://wsrv.nl/?url=www.adairs.com.au%2Fglobalassets%2F13.-ecommerce%2F03.-product-images%2F2024_images%2Fhomewares%2Fcushions%2F55836_white_05.jpg&w=1200&q=85&output=webp,,,,new,Home & Garden > Decor > Throw Pillows,Cushions,adult,,,,,,,,,50x50cm,AU,unisex,in_stock,,,TRUE,,69.99 AUD,,,txcd_99999999,inclusive,,,,
3,Leiden Caramel Boucle Cushion (50x50cm),"Leiden Caramel Boucle Cushion — 50x50cm · Cushions from Adairs, a premium Australian home and linen brand.",https://www.adairs.com.au/homewares/cushions/adairs/leiden-boucle-cushion-caramel/,Adairs,,3,https://wsrv.nl/?url=www.adairs.com.au%2Fglobalassets%2F13.-ecommerce%2F03.-product-images%2F2023_images%2Fhomewares%2Fcushions%2F55836_caramel_00.jpg&w=1200&q=85&output=webp,,,,new,Home & Garden > Decor > Throw Pillows,Cushions,adult,,,,,,,,,50x50cm,AU,unisex,in_stock,,,TRUE,,69.99 AUD,,,txcd_99999999,inclusive,,,,
5,Huxley Natural Cushion (50x50cm),"Huxley Natural Cushion — 50x50cm · Cushions from Adairs, a premium Australian home and linen brand.",https://www.adairs.com.au/homewares/cushions/adairs/huxley-natural-cushion/,Adairs,,5,https://wsrv.nl/?url=www.adairs.com.au%2Fglobalassets%2F13.-ecommerce%2F03.-product-images%2F2026_images%2Fhomewares%2Fcushions%2F61295_natural_01.jpg&w=1200&q=85&output=webp,,,,new,Home & Garden > Decor > Throw Pillows,Cushions,adult,,,,,,,,,50x50cm,AU,unisex,in_stock,,,TRUE,,79.99 AUD,,,txcd_99999999,inclusive,,,,
7,Huxley Forest Cushion (50x50cm),"Huxley Forest Cushion — 50x50cm · Cushions from Adairs, a premium Australian home and linen brand.",https://www.adairs.com.au/homewares/cushions/adairs/huxley-green-cushion/,Adairs,,7,https://wsrv.nl/?url=www.adairs.com.au%2Fglobalassets%2F13.-ecommerce%2F03.-product-images%2F2026_images%2Fhomewares%2Fcushions%2F61295_green_1.jpg&w=1200&q=85&output=webp,,,,new,Home & Garden > Decor > Throw Pillows,Cushions,adult,,,,,,,,,50x50cm,AU,unisex,in_stock,,,TRUE,,79.99 AUD,,,txcd_99999999,inclusive,,,,
8,Colton Stripe Natural and White Cushion (50x50cm),"Colton Stripe Natural and White Cushion — 50x50cm · Cushions from Adairs, a premium Australian home and linen brand.",https://www.adairs.com.au/homewares/cushions/adairs/colton-stripe-natural--white-cushion/,Adairs,,8,https://wsrv.nl/?url=www.adairs.com.au%2Fglobalassets%2F13.-ecommerce%2F03.-product-images%2F2025_images%2Fhomewares%2Fcushions%2F60777_naturalwhi_01.jpg&w=1200&q=85&output=webp,,,,new,Home & Garden > Decor > Throw Pillows,Cushions,adult,,,,,,,,,50x50cm,AU,unisex,in_stock,,,TRUE,,79.99 AUD,,,txcd_99999999,inclusive,,,,
9,Serenity Umber Cushion (50x50cm),"Serenity Umber Cushion — 50x50cm · Cushions from Adairs, a premium Australian home and linen brand.",https://www.adairs.com.au/homewares/cushions/adairs/serenity-umber-cushions/,Adairs,,9,https://wsrv.nl/?url=www.adairs.com.au%2Fglobalassets%2F13.-ecommerce%2F03.-product-images%2F2026_images%2Fhomewares%2Fcushions%2F61289_umber_1.jpg&w=1200&q=85&output=webp,,,,new,Home & Garden > Decor > Throw Pillows,Cushions,adult,,,,,,,,,50x50cm,AU,unisex,in_stock,,,TRUE,,69.99 AUD,,,txcd_99999999,inclusive,,,,
10,Serenity Ivy Cushion (50x50cm),"Serenity Ivy Cushion — 50x50cm · Cushions from Adairs, a premium Australian home and linen brand.",https://www.adairs.com.au/homewares/cushions/adairs/serenity-ivy-cushion/,Adairs,,10,https://wsrv.nl/?url=www.adairs.com.au%2Fglobalassets%2F13.-ecommerce%2F03.-product-images%2F2026_images%2Fhomewares%2Fcushions%2F61289_ivy_3.jpg&w=1200&q=85&output=webp,,,,new,Home & Garden > Decor > Throw Pillows,Cushions,adult,,,,,,,,,50x50cm,AU,unisex,in_stock,,,TRUE,,69.99 AUD,,,txcd_99999999,inclusive,,,,
11,Serenity Beige Cushion (50x50cm),"Serenity Beige Cushion — 50x50cm · Cushions from Adairs, a premium Australian home and linen brand.",https://www.adairs.com.au/homewares/cushions/adairs/serenity-beige-cushion/,Adairs,,11,https://wsrv.nl/?url=www.adairs.com.au%2Fglobalassets%2F13.-ecommerce%2F03.-product-images%2F2026_images%2Fhomewares%2Fcushions%2F61289_beige_1.jpg&w=1200&q=85&output=webp,,,,new,Home & Garden > Decor > Throw Pillows,Cushions,adult,,,,,,,,,50x50cm,AU,unisex,in_stock,,,TRUE,,69.99 AUD,,,txcd_99999999,inclusive,,,,
12,Emia Natural and Brown Sugar Linen Cushion (50x50cm),"Emia Natural and Brown Sugar Linen Cushion — 50x50cm · Cushions from Adairs, a premium Australian home and linen brand.",https://www.adairs.com.au/homewares/cushions/adairs/emia-natural--brown-sugar-linen-cushion/,Adairs,,12,https://wsrv.nl/?url=www.adairs.com.au%2Fglobalassets%2F13.-ecommerce%2F03.-product-images%2F2024_images%2Fhomewares%2Fcushions%2F58362_naturalbro_01.jpg&w=1200&q=85&output=webp,,,,new,Home & Garden > Decor > Throw Pillows,Cushions,adult,,,,,,,,,50x50cm,AU,unisex,in_stock,,,TRUE,,79.99 AUD,,,txcd_99999999,inclusive,,,,
